"book_id","isbn","authors","original_publication_year","original_title","title","language_code","image_url"
6188,"553580272","Brian Herbert, Kevin J. Anderson",1999,"Dune: House Atreides","House Atreides (Prelude to Dune #1)","eng","https://images.gr-assets.com/books/1403181106m/761575.jpg"
6189,"000710653X","Diana Wynne Jones",1977,"Charmed Life ","Charmed Life (Chrestomanci, #1)","eng","https://images.gr-assets.com/books/1396706429m/244572.jpg"
6190,"140436111","Charles Dickens",1837,"The Posthumous Papers of the Pickwick Club","The Pickwick Papers","eng","https://images.gr-assets.com/books/1360795072m/229432.jpg"
6191,"307377040","Joseph O'Neill",2008,"Netherland","Netherland","eng","https://images.gr-assets.com/books/1344205853m/2615008.jpg"
6192,"345460065","Steve Berry",2004,"The Romanov Prophecy","The Romanov Prophecy","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6193,"446556823","Larissa Ione",2010,"Ecstasy Unveiled","Ecstasy Unveiled (Demonica #4)","eng","https://images.gr-assets.com/books/1327876614m/6660747.jpg"
6194,"374280967","Alan Bennett",2007,"The Uncommon Reader ","The Uncommon Reader","eng","https://images.gr-assets.com/books/1317064291m/1096390.jpg"
6195,"805210644","Franz Kafka, بهرام مقدادی",1927,"Amerika","Amerika","eng","https://images.gr-assets.com/books/1327894257m/22911.jpg"
6196,"971977550","Steve Niles, Ben Templesmith",2001,"30 Days of Night","30 Days of Night, Vol. 1","nan","https://images.gr-assets.com/books/1178747918m/831829.jpg"
6197,"60827696","Erin Hunter",2006,"Sunset","Sunset (Warriors: The New Prophecy, #6)","en-US","https://images.gr-assets.com/books/1363488668m/197459.jpg"
6198,"nan","يوسف زيدان, Youssef Ziedan",2010,"النبطي","النبطي","ara","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6199,"1565126297","Hillary Jordan",2011,"When She Woke","When She Woke","eng","https://images.gr-assets.com/books/1358274814m/11045709.jpg"
6200,"446321214","Sidney Sheldon",1970,"The Naked Face","The Naked Face","eng","https://images.gr-assets.com/books/1398003487m/300226.jpg"
6201,"60096152","Meg Cabot",2006,"Princess in Training","Princess in Training (The Princess Diaries, #6)","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6202,"306816083","Christopher Hitchens, Titus Lucretius Carus, Omar Khayyám, Thomas Hobbes, Baruch Spinoza, David Hume, James Boswell, Percy Bysshe Shelley, George Eliot, Charles Darwin, Leslie Stephen, Anatole France, Mark Twain, Joseph Conrad, Thomas Hardy, Emma Goldman, H.P. Lovecraft, Carl Van Doren, H.L. Mencken, Sigmund Freud, Albert Einstein, George Orwell, John Betjeman, Chapman Cohen, Bertrand Russell, Philip Larkin, Martin Gardner, Carl Sagan, John Updike, John Leslie Mackie, Michael Shermer, A.J. Ayer, Daniel C. Dennett, Charles Templeton, Richard Dawkins, Victor J. Stenger, Elizabeth S.  Anderson, Penn Jillette, Ian McEwan, Steven Weinberg, Salman Rushdie, Ibn Warraq, Sam Harris, A.C. Grayling, Ayaan Hirsi Ali, John Stuart Mill, Karl Marx",2007,"The Portable Atheist: Essential Readings for the Non-believer","The Portable Atheist: Essential Readings for the Nonbeliever","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6203,"446556815","Larissa Ione",2010,"Sin Undone","Sin Undone (Demonica #5)","eng","https://images.gr-assets.com/books/1344263648m/7715664.jpg"
6204,"1570625190","Fritjof Capra",1975,"The Tao of Physics: An Exploration of the Parallels Between Modern Physics and Eastern Mysticism","The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism","eng","https://images.gr-assets.com/books/1327908532m/10238.jpg"
6205,"nan","Madeline Sheehan",2013,"nan","Unbeautifully (Undeniable, #2)","eng","https://images.gr-assets.com/books/1356218822m/16114861.jpg"
6206,"nan","Kathryn Croft",2015,"The Girl With No Past","The Girl With No Past","en-US","https://images.gr-assets.com/books/1440440726m/26158341.jpg"
6207,"374104115","Jeff VanderMeer",2014,"Acceptance","Acceptance (Southern Reach, #3)","eng","https://images.gr-assets.com/books/1403941598m/18077752.jpg"
6208,"nan","Kristen Ashley",2011,"Lady Luck","Lady Luck (Colorado Mountain, #3)","eng","https://images.gr-assets.com/books/1327912930m/12958487.jpg"
6209,"545140315","Elizabeth Eulberg",2010,"The Lonely Hearts Club","The Lonely Hearts Club (The Lonely Hearts Club, #1)","eng","https://images.gr-assets.com/books/1479699351m/6609714.jpg"
6210,"074347418X","Julie Garwood",1999,"Ransom","Ransom (Highlands' Lairds, #2)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6211,"7120818","Agatha Christie",1927,"The Big Four","The Big Four (Hercule Poirot, #5)","eng","https://images.gr-assets.com/books/1372506728m/16316.jpg"
6212,"7119305","Agatha Christie",1932,"Peril at End House","Peril at End House (Hercule Poirot, #8)","eng","https://images.gr-assets.com/books/1327938128m/16424.jpg"
6213,"857522817","Renée Knight",2015,"Disclaimer","Disclaimer","eng","https://images.gr-assets.com/books/1417259186m/23346719.jpg"
6214,"62240080","Veronica Roth",2012,"nan","The Divergent Series 2-Book Collection (Divergent, #1-2)","eng","https://images.gr-assets.com/books/1341816250m/15743078.jpg"
6215,"547577532","Umberto Eco, Richard Dixon",2010,"Il cimitero di Praga","The Prague Cemetery","en-US","https://images.gr-assets.com/books/1327902035m/10314376.jpg"
6216,"1400069262","Yann Martel",2010,"Beatrice and Virgil","Beatrice and Virgil","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6217,"1569319022","Hiroyuki Takei",1998,"シャーマンキング 1","Shaman King, Vol. 1: A Shaman in Tokyo","eng","https://images.gr-assets.com/books/1444234846m/885744.jpg"
6218,"765341840","Robert Jordan",1990,"Eye of the World (The Wheel of Time, #1-1)","From the Two Rivers: The Eye of the World, Part 1 (Wheel of time, #1-1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6219,"192861891","Michio Kaku",1994,"Hyperspace: A Scientific Odyssey Through Parallel Universes, Time Warps, and the Tenth Dimension","Hyperspace","eng","https://images.gr-assets.com/books/1404794967m/33426.jpg"
6220,"393318486","Steven Pinker",1997,"How the Mind Works","How the Mind Works","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6221,"nan","Bella Forrest",2013,"nan","A Castle of Sand (A Shade of Vampire, #3)","eng","https://images.gr-assets.com/books/1368555992m/17925397.jpg"
6244,"1599900572","Jessica Day George",2006,"Dragon Slippers (Dragon Slippers, #1)","Dragon Slippers (Dragon Slippers, #1)","en-US","https://images.gr-assets.com/books/1316730294m/669570.jpg"
6222,"310266289","Karen Kingsbury",2011,"Leaving","Leaving (Bailey Flanigan, #1)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6223,"142003239","Ian Fleming",1954,"Live and Let Die","Live and Let Die (James Bond, #2)","eng","https://images.gr-assets.com/books/1327953982m/3763.jpg"
6224,"545425123","Kate Egan",2012,"nan","The World of the Hunger Games (Hunger Games Trilogy)","en-US","https://images.gr-assets.com/books/1327937151m/11873368.jpg"
6225,"087220605X","John Stuart Mill, George Sher",1861,"Utilitarianism","Utilitarianism","eng","https://images.gr-assets.com/books/1405624617m/584637.jpg"
6226,"1442444924","Andrew  Smith",2013,"Winger","Winger (Winger, #1)","eng","https://images.gr-assets.com/books/1367927656m/11861815.jpg"
6227,"62294415","Mitch Albom",2012,"The Magic Strings of Frankie Presto","The Magic Strings of Frankie Presto","eng","https://images.gr-assets.com/books/1426364478m/25142924.jpg"
6228,"553392921","Robin Hobb",2015,"Fool's Quest","Fool's Quest  (The Fitz and The Fool, #2)","eng","https://images.gr-assets.com/books/1420496252m/23157777.jpg"
6229,"684852586","Jack Finney",1955,"The Body Snatchers","Invasion of the Body Snatchers","eng","https://images.gr-assets.com/books/1344394499m/127515.jpg"
6230,"380732238","Melvin Burgess",1996,"Junk","Smack","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6231,"nan","Bill O'Reilly, Martin Dugard",2014,"Killing Patton: The Strange Death of World War II's Most Audacious General","Killing Patton: The Strange Death of World War II's Most Audacious General","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6232,"312375069","Keigo Higashino, Alexander O. Smith",2005,"容疑者Xの献身 [Yōgisha X no kenshin]","The Devotion of Suspect X","nan","https://images.gr-assets.com/books/1312051518m/8686068.jpg"
6233,"807218987","Jenny Nimmo",2003,"Charlie Bone and the Time Twister ","Charlie Bone and the Time Twister (The Children of the Red King, #2)","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6234,"8433972618","Irvine Welsh",2005,"Porno","Porno","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6235,"439545269","Jenny Nimmo",2004,"Charlie Bone and the Invisible Boy (The Children of the Red King, # 3)","Charlie Bone and the Invisible Boy (The Children of the Red King, #3)","eng","https://images.gr-assets.com/books/1328867540m/106129.jpg"
6236,"nan","Hugh Howey",2012,"First Shift: Legacy","First Shift: Legacy (Shift, #1)","eng","https://images.gr-assets.com/books/1334528415m/13603717.jpg"
6237,"316036226","James Patterson, Michael Ledwidge",2010,"Worst Case","Worst Case (Michael Bennett, #3)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6238,"451209303","Daniel Silva",1996,"The Unlikely Spy","The Unlikely Spy","eng","https://images.gr-assets.com/books/1309203396m/93797.jpg"
6239,"006128887X","Ellen Schreiber",2009,"Royal Blood (Vampire Kisses, #6)","Royal Blood (Vampire Kisses, #6)","eng","https://images.gr-assets.com/books/1318011052m/5111039.jpg"
6240,"1571741038","Neale Donald Walsch",1996,"Conversations with God, an uncommon dialogue, book 3","Conversations With God: An Uncommon Dialogue, Book 3","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6241,"1101875100","Patti Smith",2015,"M Train","M Train","eng","https://images.gr-assets.com/books/1429289871m/24728470.jpg"
6242,"60786469","Louise Erdrich",1984,"Love Medicine","Love Medicine","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6243,"446577898","Brad Meltzer",2011,"The Inner Circle","The Inner Circle (Culper Ring, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6245,"399173595","Carrie Fisher",2016,"The Princess Diarist","The Princess Diarist","eng","https://images.gr-assets.com/books/1496315917m/26025989.jpg"
6246,"593046358","Steven Erikson",2011,"The Crippled God","The Crippled God (The Malazan Book of the Fallen, #10)","eng","https://images.gr-assets.com/books/1320388198m/8447255.jpg"
6247,"085707685X","Rachel Renée Russell",2012,"Tales From a Not-So-Graceful Ice Princess","Tales from a Not-So-Graceful Ice Princess (Dork Diaries, #4)","nan","https://images.gr-assets.com/books/1370064558m/13545345.jpg"
6248,"1416979182","Lisa McMann",2010,"Gone ","Gone (Wake, #3)","eng","https://images.gr-assets.com/books/1269866682m/7124095.jpg"
6249,"1401203140","Brian K. Vaughan, Niko Henrichon",2006,"Pride of Baghdad","Pride of Baghdad","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6250,"2081354802","Michel Houellebecq",2015,"Soumission ","Soumission","fre","https://images.gr-assets.com/books/1421431410m/23929479.jpg"
6251,"385488181","Jon Krakauer",1990,"Eiger Dreams: Ventures Among Men and Mountains","Eiger Dreams: Ventures Among Men and Mountains","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6252,"345479718","Richard K. Morgan",2005,"Woken Furies","Woken Furies (Takeshi Kovacs, #3)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6253,"9385152149","Amish Tripathi",2015,"nan","Scion of Ikshvaku (RamChandra, #1)","eng","https://images.gr-assets.com/books/1428418378m/24709327.jpg"
6254,"316074152","Gail Carriger",2010,"Blameless","Blameless (Parasol Protectorate, #3)","eng","https://images.gr-assets.com/books/1293436281m/7719355.jpg"
6255,"738210072","Jenny McCarthy",2004,"Belly Laughs: The Naked Truth About Pregnancy and Childbirth","Belly Laughs: The Naked Truth About Pregnancy and Childbirth","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6256,"61053716","Clive Barker",1991,"Imajica","Imajica","eng","https://images.gr-assets.com/books/1333844729m/567704.jpg"
6257,"60891548","William Zinsser",1976,"On Writing Well: The Classic Guide to Writing Nonfiction","On Writing Well: The Classic Guide to Writing Nonfiction","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6258,"60724277","Thomas A. Harris",1967,"I'm OK-You're OK","I'm OK - You're OK","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6259,"345441702","Mario Puzo",1984,"The Sicilian","The Sicilian","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6260,"425256766","Patricia Briggs",2016,"Fire Touched","Fire Touched (Mercy Thompson, #9)","eng","https://images.gr-assets.com/books/1441912000m/25776210.jpg"
6261,"752876813","Maeve Binchy",1992,"The Copper Beech","The Copper Beech","eng","https://images.gr-assets.com/books/1355114025m/34312.jpg"
6262,"307140210","Jane Werner Watson, Corinne Malvern",1950,"Frosty the Snow Man","Frosty the Snow Man","nan","https://images.gr-assets.com/books/1309642075m/1422926.jpg"
6263,"312370156","S.A. Bodeen",2008,"The Compound","The Compound (The Compound, #1)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6264,"749311614","James A. Michener",1980,"The Covenant","The Covenant","en-GB","https://images.gr-assets.com/books/1310975573m/12663.jpg"
6265,"2253140872","Boris Vian",1947,"L’écume des jours","L'Écume des jours","fre","https://images.gr-assets.com/books/1332596603m/141828.jpg"
6266,"1442422017","Kimberly Derting",2011,"The Pledge","The Pledge (The Pledge, #1)","eng","https://images.gr-assets.com/books/1327878861m/10637748.jpg"
6267,"515132187","Nora Roberts",2001,"The Villa","The Villa","en-US","https://images.gr-assets.com/books/1351343027m/85491.jpg"
6268,"nan","Kimberly Lauren",2013,"nan","Beautiful Broken Rules (Broken, #1)","eng","https://images.gr-assets.com/books/1365043610m/17729712.jpg"
6269,"843956534","Christine Feehan",1999,"Dark Desire","Dark Desire (Dark, #2)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6270,"62071076","Dan Wells",2013,"Fragments","Fragments (Partials Sequence, #2)","eng","https://images.gr-assets.com/books/1352943797m/13170596.jpg"
6271,"62068520","Sarah MacLean",2012,"A Rogue by Any Other Name","A Rogue by Any Other Name (The Rules of Scoundrels, #1)","eng","https://images.gr-assets.com/books/1327928208m/10428803.jpg"
6272,"60638508","Martin Heidegger",1927,"Sein und Zeit","Being and Time","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6273,"684822761","Ernest Hemingway",1925,"In Our Time","In Our Time","nan","https://images.gr-assets.com/books/1369859426m/4652.jpg"
6274,"60974990","Jonathan Kozol",1991,"Savage Inequalities: Children in America's Schools","Savage Inequalities: Children in America's Schools","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6275,"014132502X","Charlie Higson",2009,"The Enemy","The Enemy (The Enemy, #1)","eng","https://images.gr-assets.com/books/1340819657m/6605625.jpg"
6276,"312997116","Jeffrey Archer",1990,"As The Crow Flies","As the Crow Flies","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6277,"684855631","Jeffery Deaver",2000,"The Empty Chair ","The Empty Chair (Lincoln Rhyme, #3)","en-US","https://images.gr-assets.com/books/1336331745m/142540.jpg"
6278,"316252905","Daphne du Maurier",1935,"Jamaica Inn","Jamaica Inn","eng","https://images.gr-assets.com/books/1386605082m/18869967.jpg"
6279,"60531827","Kenneth Oppel",2004,"Airborn","Airborn (Matt Cruse, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6280,"440167361","Thomas Tryon",1971,"nan","The Other","eng","https://images.gr-assets.com/books/1326661013m/219535.jpg"
6281,"nan","Daniel Silva",2015,"The English Spy","The English Spy (Gabriel Allon, #15)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6282,"006202468X","Colin Meloy, Carson Ellis",2011,"Wildwood","Wildwood (Wildwood Chronicles, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6283,"99468387","Ian McEwan",1978,"The Cement Garden","The Cement Garden","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6284,"553561405","Margaret Weis, Tracy Hickman",1992,"Serpent Mage","Serpent Mage (The Death Gate Cycle, #4)","eng","https://images.gr-assets.com/books/1327837018m/28507.jpg"
6285,"1416535071","Daniel Tammet",2006,"Born on a Blue Day: Inside the Extraordinary Mind of an Autistic Savant","Born on a Blue Day: Inside the Extraordinary Mind of an Autistic Savant","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6286,"nan","Rachel Van Dyken",2013,"The Bet","The Bet (The Bet, #1)","eng","https://images.gr-assets.com/books/1362593639m/17560674.jpg"
6287,"61930059","Conor Grennan",2010,"Little Princes: One Man's Promise to Bring Home the Lost Children of Nepal","Little Princes: One Man's Promise to Bring Home the Lost Children of Nepal","en-US","https://images.gr-assets.com/books/1279553857m/8564644.jpg"
6288,"1400066336","Kaui Hart Hemmings",2007,"The Descendants","The Descendants","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6289,"nan","Colleen Hoover",2016,"nan","Too Late","eng","https://images.gr-assets.com/books/1459520906m/29610595.jpg"
6290,"345496205","Natsumi Ando, Miyuki Kobayashi",2005,"Kitchen no Ohimesama","Kitchen Princess, Vol. 01 (Kitchen Princess, #1)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6291,"99416425","Irving Stone",1934,"Lust for Life: A Novel of Vincent Van Gogh","Lust for Life","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6292,"451462807","Faith Hunter",2009,"Skinwalker","Skinwalker (Jane Yellowrock, #1)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6293,"60564652","Mary Kay Andrews",2004,"Hissy Fit","Hissy Fit","en-GB","https://images.gr-assets.com/books/1355940330m/648194.jpg"
6294,"1846059739","James Patterson, Mark T. Sullivan",2012,"Private Games ","Private Games (Private #3)","eng","https://images.gr-assets.com/books/1498199246m/11343348.jpg"
6295,"143036424","Craig Johnson",2004,"The Cold Dish","The Cold Dish (Walt Longmire, #1)","eng","https://images.gr-assets.com/books/1398028367m/109901.jpg"
6296,"142301515","Sherwood Smith",1997,"Crown Duel ","Crown Duel (Crown & Court #1-2)","nan","https://images.gr-assets.com/books/1360507771m/21060.jpg"
6297,"60776390","Victoria Kann, Elizabeth Kann",2006,"Pinkalicious","Pinkalicious","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6298,"374529604","Pablo Neruda, Ilan Stavans",1974,"The Poetry of Pablo Neruda","The Poetry of Pablo Neruda","en-US","https://images.gr-assets.com/books/1417605511m/5936.jpg"
6299,"452283205","Tracy Chevalier",2001,"Falling Angels","Falling Angels","eng","https://images.gr-assets.com/books/1327995250m/2872.jpg"
6300,"552772291","Madeleine Wickham",2001,"Sleeping Arrangements","Sleeping Arrangements","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6301,"1606841750","Ilsa J. Bick",2011,"Monsters","Ashes (Ashes Trilogy, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6302,"486444074","Jane Austen, Robert William Chapman",1871,"Lady Susan","Lady Susan","eng","https://images.gr-assets.com/books/1328864949m/91582.jpg"
6303,"nan","Tillie Cole",2013,"nan","Sweet Home (Sweet Home, #1)","eng","https://images.gr-assets.com/books/1376473414m/18105011.jpg"
6304,"743484363","Mary Higgins Clark",1994,"Remember Me ","Remember Me","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6305,"894802046","Julee Rosso, Sheila Lukins, Michael McLaughlin",1982,"The Silver Palate Cookbook: Delicious Recipes, Menus, Tips, Lore From Manhattan's Celebrated  Gourmet  Food Shop.","The Silver Palate Cookbook","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6306,"446354678","Sidney Sheldon",1990,"Memories of Midnight","Memories of Midnight","eng","https://images.gr-assets.com/books/1501701194m/106648.jpg"
6307,"140089225","Keri Hulme",1984,"The Bone People","The Bone People","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6308,"60728272","Michelle Paver, Geoff Taylor",2004,"Wolf Brother","Wolf Brother (Chronicles of Ancient Darkness, #1)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6309,"356502023","Brian  McClellan",2014,"The Crimson Campaign","The Crimson Campaign (Powder Mage, #2)","eng","https://images.gr-assets.com/books/1363102695m/17608111.jpg"
6310,"316246573","Gavin Extence",2013,"The Universe Versus Alex Woods","The Universe Versus Alex Woods","eng","https://images.gr-assets.com/books/1352436020m/15984268.jpg"
6311,"1416927883","Marguerite Henry",1963,"Stormy, Misty's Foal","Stormy, Misty's Foal (Misty, #3)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6312,"3867197571","Tsugumi Ohba, Takeshi Obata, Diana Hammermeister",2009,"バクマン。 1","Bakuman, Band 1: Traum und Realität","ger","https://images.gr-assets.com/books/1346333264m/6735082.jpg"
6313,"380776847","Susan Elizabeth Phillips",1995,"Heaven, Texas","Heaven, Texas (Chicago Stars, #2)","en-US","https://images.gr-assets.com/books/1308646849m/73084.jpg"
6314,"425067947","Agatha Christie",1923,"The Murder on the Links","The Murder on the Links (Hercule Poirot, #2)","eng","https://images.gr-assets.com/books/1384562979m/639787.jpg"
6315,"871404028","J.G. Ballard",1975,"High-Rise","High-Rise","nan","https://images.gr-assets.com/books/1358752559m/12331767.jpg"
6316,"1421270536","Friedrich Nietzsche, H.L. Mencken",1888,"Der Antichrist","The Anti-Christ","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6317,"037541486X","Lawrence Wright",2006,"The Looming Tower: Al-Qaeda and the Road to 9/11","The Looming Tower: Al-Qaeda and the Road to 9/11","en-US","https://images.gr-assets.com/books/1320471617m/110890.jpg"
6318,"441094996","Robert A. Heinlein",1985,"The Cat Who Walks through Walls","The Cat Who Walks Through Walls (The World As Myth)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6319,"425099334","K.R. Dwyer, Dean Koontz",1973,"Shattered","Shattered","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6320,"843391426X","Charles Bukowski",1989,"Hollywood","Hollywood","nan","https://images.gr-assets.com/books/1361998529m/38505.jpg"
6321,"752885170","Jeff Lindsay",2008,"Dexter by Design","Dexter By Design (Dexter, #4)","en-GB","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6322,"345915623","John Irving",1994,"A Son of the Circus","A Son of the Circus","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6323,"751525677","Stephen King",1982,"nan","Apt Pupil","eng","https://images.gr-assets.com/books/1330222469m/10618.jpg"
6324,"446602213","Sidney Sheldon",1995,"Morning, Noon & Night","Morning, Noon & Night","eng","https://images.gr-assets.com/books/1344267638m/84052.jpg"
6325,"425210731","J.D. Robb",2006,"Memory in Death ","Memory in Death (In Death, #22)","eng","https://images.gr-assets.com/books/1299457743m/238141.jpg"
6326,"156949601","Virginia Woolf",1931,"The Waves","The Waves","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6327,"385516401","Jeffrey Toobin",2007,"The Nine: Inside the Secret World of the Supreme Court","The Nine: Inside the Secret World of the Supreme Court","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6328,"452297036","Sarah Jio",2011,"The Violets of March","The Violets of March","en-US","https://images.gr-assets.com/books/1299776782m/9724798.jpg"
6329,"307593916","Kyung-Sook Shin, 신경숙, Chi-Young Kim",2008,"엄마를 부탁해","Please Look After Mom","eng","https://images.gr-assets.com/books/1320413213m/8574333.jpg"
6330,"345388666","David Eddings",1993,"The Shining Ones","The Shining Ones (The Tamuli, #2)","nan","https://images.gr-assets.com/books/1403187182m/243298.jpg"
6331,"785117210","Brian Michael Bendis, Olivier Coipel, Tim Townsend, Rick Magyar, John Dell, Scott Hanna, Frank D'Armata, Chris Eliopoulos, James Taveras, Omar Otieku, Tom Valente, Esad Ribic",2006,"House of M","House of M","eng","https://images.gr-assets.com/books/1409502209m/105973.jpg"
6332,"525421351","Heather Brewer",2009,"Tenth Grade Bleeds","Tenth Grade Bleeds (The Chronicles of Vladimir Tod, #3)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6333,"60827882","Leon Uris",1976,"Trinity: A Novel of Ireland","Trinity","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6334,"394800028","Dr. Seuss",1958,"The Cat in the Hat Comes Back","The Cat in the Hat Comes Back","en-US","https://images.gr-assets.com/books/1332799738m/667234.jpg"
6335,"702229784","Peter Carey",1988,"Oscar and Lucinda","Oscar and Lucinda","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6336,"375422730","Alexander McCall Smith",2007,"The Good Husband of Zebra Drive","The Good Husband of Zebra Drive (No. 1 Ladies' Detective Agency, #8)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6337,"451527542","Booker T. Washington, Ishmael Reed",1900,"Up from Slavery","Up from Slavery","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
6338,"399154221","Daniel Silva",2007,"The Secret Servant","The Secret Servant (Gabriel Allon, #7)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
